setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,10.0,hacker_2015_md_xenolith_norm,702.4908682523003,904.1538978158153,8181.540000000001,3319.2635041098633,42112.11211211215,11484.730990991002,734.5129687412107,12986.181441441442,752.6258474330546,47617.61761761762,0.052856371413523534,0.05241373840354241,0.06050150402469984,3.4735795863636674,9.842907106664887,9.871899402510463,9.872196182346205,9.872196182346205
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,10.0,mackwell_1998_maryland_diabase_norm,702.4908682523003,904.1538978158153,8181.540000000001,3370.2907083297264,32002.002002002042,8727.521981981992,707.0398042765489,12303.703963963984,744.1171748984633,45115.11511511519,0.052856371413523534,0.05241373840354241,0.0703932500406815,3.4929464237126284,7.4219072245736015,7.434732206572524,7.434996983679669,7.434996983679669
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,30.0,sammon_2021_lower_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3276.590133880535,44464.46446446445,12126.259819819817,741.9801440582888,12194.507567567565,742.7984050520644,44714.714714714704,0.052856371413523534,0.05241373840354241,0.02168859864792963,3.4284918357764385,13.13026535940779,13.193863045816162,13.194194885465462,13.194194885465462
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,30.0,sammon_2021_deep_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3168.701891464771,85000.0,30000.0,904.1480313283495,12590.344504504505,747.6348818908531,46166.166166166164,0.052856371413523534,0.05241373840354241,nan,3.3440782271860927,16.920106146389045,17.247177289028194,17.24789791803918,17.24789791803918
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,30.0,hacker_2015_md_xenolith_norm,702.4908682523003,904.1538978158153,8181.540000000001,3319.2635041098633,40860.86086086084,11143.492252252247,730.7063944906929,12194.507567567554,742.7984057683134,44714.71471471466,0.052856371413523534,0.05241373840354241,0.06275970603724768,3.473699995783908,13.39439070783547,13.463879522809624,13.464767726919295,13.464767726919295
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,30.0,mackwell_1998_maryland_diabase_norm,702.4908682523003,904.1538978158153,8181.540000000001,3370.2907083297264,31651.651651651653,8631.975135135135,706.2221384925357,11621.226486486497,736.0677454580062,42612.61261261265,0.052856371413523534,0.05241373840354241,0.07308788137224083,3.4932198397736434,9.609046899147337,9.685176077720966,9.6854614233664,9.6854614233664
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,100.0,sammon_2021_lower_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3276.590133880535,42912.91291291296,11703.123783783796,737.0094295026922,11744.072432432438,737.4827509458547,43063.063063063084,0.052856371413523534,0.05241373840354241,0.021981789062013743,3.428509648638889,17.37821569157015,18.015785768511414,18.02066384441817,18.02066384441817
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,100.0,sammon_2021_deep_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3168.701891464771,85000.0,30000.0,904.1480313272027,12071.661621621575,741.3288418168532,44264.26426426409,0.052856371413523534,0.05241373840354241,nan,3.3440899685590346,24.177005578939664,25.27648051464491,25.277009658383566,25.277009658383566
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,100.0,hacker_2015_md_xenolith_norm,702.4908682523003,904.1538978158153,8181.540000000001,3319.2635041098633,40210.21021021028,10966.048108108127,728.7723490981184,11744.072432432482,737.4827506392686,43063.063063063244,0.052856371413523534,0.05241373840354241,0.0640415198593189,3.4737471981746886,17.777366207137838,18.389210497350533,18.394586378101156,18.394586378101156
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,100.0,mackwell_1998_maryland_diabase_norm,702.4908682523003,904.1538978158153,8181.540000000001,3370.2907083297264,31551.551551551565,8604.67603603604,705.9901729613513,11252.688648648613,731.9120068395428,41261.26126126113,0.052856371413523534,0.05241373840354241,0.0746118674121233,3.4933410312665716,12.427591509903582,12.508562844171774,12.510716619042537,12.510716619042537
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,300.0,sammon_2021_lower_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3276.590133880535,42212.21221221228,11512.03009009011,734.8224545031105,11539.329189189208,735.1326750609335,42312.31231231237,0.052856371413523534,0.05241373840354241,0.022131441469878284,3.4285147183953426,22.297161380642017,23.29161635913841,23.293557705389365,23.293557705389365
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,300.0,sammon_2021_deep_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3168.701891464771,85000.0,30000.0,904.1480332266212,11825.969729729739,738.4343539740892,43363.36336336339,0.052856371413523534,0.05241373840354241,nan,3.34409366494251,33.10493552190261,35.19355102454219,35.216963943581625,35.216963943581625
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,300.0,hacker_2015_md_xenolith_norm,702.4908682523003,904.1538978158153,8181.540000000001,3319.2635041098633,40010.01001000998,10911.449909909901,728.1835041739515,11539.329189189173,735.1326750610012,42312.31231231225,0.052856371413523534,0.05241373840354241,0.06473899857535902,3.473762260942088,22.697081932510578,23.773985921203497,23.787088192231955,23.787088192231955
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,300.0,mackwell_1998_maryland_diabase_norm,702.4908682523003,904.1538978158153,8181.540000000001,3370.2907083297264,31501.501501501498,8591.026486486486,705.8744663101627,11102.54360360361,730.2573213993102,40710.71071071074,0.052856371413523534,0.05241373840354241,0.07522157880746133,3.493380632431561,15.101411707633869,15.306790480691776,15.310326064895294,15.310326064895294
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,1000.0,sammon_2021_lower_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3276.590133880535,41811.81181181178,11402.833693693685,733.5889202021824,11430.132792792783,733.8962015763196,41911.91191191187,0.052856371413523534,0.05241373840354241,0.022207584016299988,3.428516812968758,27.917991967983546,29.794143933378233,29.82017393974504,29.82017393974504
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,1000.0,sammon_2021_deep_crust_norm,702.4908682523003,904.1538978158153,8181.540000000001,3168.701891464771,85000.0,30000.0,904.1480315268622,11675.824684684716,736.694799667382,42812.812812812925,0.052856371413523534,0.05241373840354241,nan,3.344094843164098,44.615048052403054,49.3728311880652,49.43002052837278,49.43002052837278
cold-2,102500.0,30000.0,80000.0,1.65e-06,9500.0,3.0,283.15,1603.15,1000.0,hacker_2015_md_xenolith_norm,702.4908682523003,904.1538978158153,8181.540000000001,3319.2635041098633,39909.90990990994,10884.15081081082,727.8901835055983,11430.132792792783,733.8962015808565,41911.91191191187,0.052856371413523534,0.05241373840354241,0.06510012177183837,3.4737674521366393,28.39469604366861,30.395744758329414,30.44120964181033,30.44120964181033
